id,title,original_language,release_date,vote_average,vote_count,popularity,genre_ids,Genres
995133,"The Boy, the Mole, the Fox and the Horse",en,12/25/22,8.262,529,34.285,"[16, 10751, 12, 14]","['Animation', 'Family', 'Adventure', 'Fantasy']"
652837,"Josee, the Tiger and the Fish",ja,12/25/20,8.259,451,19.625,"[16, 18, 10749]","['Animation', 'Drama', 'Romance']"
447362,Life in a Year,en,11/27/20,8.259,1852,116.784,"[18, 10749]","['Drama', 'Romance']"
630566,Clouds,en,10/9/20,8.258,997,11.107,"[10402, 18, 10749]","['Music', 'Drama', 'Romance']"
25237,Come and See,ru,10/17/85,8.257,1449,21.41,"[18, 10752]","['Drama', 'War']"
8587,The Lion King,en,6/24/94,8.257,18081,131.119,"[10751, 16, 18]","['Family', 'Animation', 'Drama']"
670,Oldboy,ko,11/21/03,8.255,8536,36.257,"[18, 53, 9648, 28]","['Drama', 'Thriller', 'Mystery', 'Action']"
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,ja,3/8/21,8.253,796,26.22,"[16, 28, 878, 18]","['Animation', 'Action', 'Science Fiction', 'Drama']"
42269,We All Loved Each Other So Much,it,12/21/74,8.253,537,7.248,"[18, 35]","['Drama', 'Comedy']"
299534,Avengers: Endgame,en,4/24/19,8.3,25385,144.88,"[12, 878, 28]","['Adventure', 'Science Fiction', 'Action']"
299536,Avengers: Infinity War,en,4/25/18,8.245,29462,269.223,"[12, 28, 878]","['Adventure', 'Action', 'Science Fiction']"
490132,Green Book,en,11/16/18,8.24,11436,41.607,"[18, 36]","['Drama', 'History']"
508965,Klaus,en,11/8/19,8.2,3948,18.308,"[16, 10751, 12, 35, 14]","['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']"
265177,Mommy,fr,9/19/14,8.236,2685,14.404,[18],['Drama']
572154,Rascal Does Not Dream of a Dreaming Girl,ja,6/15/19,8.232,519,16.894,"[16, 10749, 18, 14]","['Animation', 'Romance', 'Drama', 'Fantasy']"
618344,Justice League Dark: Apokolips War,en,5/5/20,8.229,1441,25.841,"[16, 28, 878]","['Animation', 'Action', 'Science Fiction']"
110420,Wolf Children,ja,7/21/12,8.228,2251,36.871,"[16, 10751, 18, 14]","['Animation', 'Family', 'Drama', 'Fantasy']"
504253,I Want to Eat Your Pancreas,ja,9/1/18,8.227,1522,26.475,"[16, 18, 10749]","['Animation', 'Drama', 'Romance']"
315162,Puss in Boots: The Last Wish,en,12/7/22,8.227,7606,200.088,"[16, 12, 14, 35, 10751]","['Animation', 'Adventure', 'Fantasy', 'Comedy', 'Family']"
441130,Wolfwalkers,en,10/26/20,8.222,1163,21.046,"[16, 10751, 12, 14]","['Animation', 'Family', 'Adventure', 'Fantasy']"
24188,Il Sorpasso,it,12/5/62,8.219,729,8.279,"[18, 35]","['Drama', 'Comedy']"
16869,Inglourious Basterds,en,8/2/09,8.2,22031,78.089,"[18, 53, 10752]","['Drama', 'Thriller', 'War']"
857,Saving Private Ryan,en,7/24/98,8.218,15660,63.287,"[18, 36, 10752]","['Drama', 'History', 'War']"
603,The Matrix,en,3/31/99,8.217,25432,84.828,"[28, 878]","['Action', 'Science Fiction']"
